Crash ID,County,Community,Primary Road,Intersecting Road,Date,Time,Type,Level,Crash Rpt.
00-267130,Hennepin,Minneapolis,Hennepin Av S,15th St W,2000/08/13,2330,Bicycle,Property Damage Only,
00-270243,Hennepin,Minneapolis,12th Av S,28th St E,2000/08/31,2000,Bicycle,Possible Injury (C),
00-270806,Hennepin,Minneapolis,40th Av S,42nd St E,2000/09/01,1320,Bicycle,Possible Injury (C),
00-270874,Hennepin,Minneapolis,West Broadway Av N,Dupont Av N,2000/09/01,1435,Bicycle,Possible Injury (C),
00-272071,Hennepin,Minneapolis,11th Av S,15th St E,2000/09/02,1300,Bicycle,Possible Injury (C),
00-272362,Hennepin,Minneapolis,13th Av S,Lake St E,2000/09/02,1905,Bicycle,Possible Injury (C),
00-272611,Hennepin,Minneapolis,3rd Av S,9th St S,2000/09/02,2240,Bicycle,Possible Injury (C),
00-273395,Hennepin,Minneapolis,16th Av N,Emerson Av N,2000/09/03,1800,Bicycle,Property Damage Only,
00-273528,Hennepin,Minneapolis,Lowry Av N,Lyndale Av N,2000/09/03,2015,Bicycle,Possible Injury (C),
00-274292,Hennepin,Minneapolis,7th Av SE,8th St SE,2000/09/04,1600,Bicycle,Possible Injury (C),
00-275187,Hennepin,Minneapolis,Lake St E,Stevens Av S,2000/09/05,1100,Bicycle,Possible Injury (C),
00-276386,Hennepin,Minneapolis,25th St W,Girard Av S,2000/09/06,1120,Bicycle,Possible Injury (C),
00-277643,Hennepin,Minneapolis,Cedar Av S,Washington Av S,2000/09/07,1513,Bicycle,Possible Injury (C),
00-277774,Hennepin,Minneapolis,Fremont Av N,Plymouth Av N,2000/09/07,1755,Bicycle,Possible Injury (C),
00-280221,Hennepin,Minneapolis,21st Av N,Lyndale Av N,2000/09/09,1330,Bicycle,Possible Injury (C),
00-281777,Hennepin,Minneapolis,14th St W,Spruce Place S,2000/09/10,2020,Bicycle,Possible Injury (C),
00-282267,Hennepin,Minneapolis,31st St E,Portland Av S,2000/09/11,800,Bicycle,Possible Injury (C),
00-283716,Hennepin,Minneapolis,5th St SE,15th Av SE,2000/09/12,1230,Bicycle,Possible Injury (C),
00-283936,Hennepin,Minneapolis,8th St S,Chicago Av S,2000/09/12,1645,Bicycle,Possible Injury (C),
00-283962,Hennepin,Minneapolis,35th Av N,Lyndale Av N,2000/09/12,1702,Bicycle,Possible Injury (C),
00-284088,Hennepin,Minneapolis,16th Av N,Vincent Av N,2000/09/12,1858,Bicycle,Possible Injury (C),
00-284828,Hennepin,Minneapolis,9th St S,Hennepin Av S,2000/09/13,100,Bicycle,Possible Injury (C),
00-285061,Hennepin,Minneapolis,7th St S,Portland Av S,2000/09/13,1550,Bicycle,Possible Injury (C),
00-285078,Hennepin,Minneapolis,Franklin Av W,Lyndale Av S,2000/09/13,1615,Bicycle,Possible Injury (C),
00-285234,Hennepin,Minneapolis,42nd St W,Xerxes Av S,2000/09/13,1815,Bicycle,Possible Injury (C),
00-285244,Hennepin,Minneapolis,39th Av N,Dupont Av N,2000/09/13,1809,Bicycle,Possible Injury (C),
00-286048,Hennepin,Minneapolis,I-35W SB Ramp,Washington Av S,2000/09/14,1110,Bicycle,Possible Injury (C),
00-286302,Hennepin,Minneapolis,11th St S,Nicollet Mall S,2000/09/14,1600,Bicycle,Possible Injury (C),
00-286410,Hennepin,Minneapolis,2nd Av N,West Lyndale Av N,2000/09/14,1802,Bicycle,Possible Injury (C),
00-286449,Hennepin,Minneapolis,4th St SE,12th Av SE,2000/09/14,1830,Bicycle,Possible Injury (C),
00-286461,Hennepin,Minneapolis,38th St W,Nicollet Av S,2000/09/14,1800,Bicycle,Possible Injury (C),
00-287453,Hennepin,Minneapolis,58th St W,Newton Av S,2000/09/15,1500,Bicycle,Property Damage Only,
00-288896,Hennepin,Minneapolis,Hennepin Av S,Vineland Place W,2000/09/16,1825,Bicycle,Possible Injury (C),
00-289961,Hennepin,Minneapolis,Broadway St NE,Jefferson St NE,2000/09/17,1415,Bicycle,Possible Injury (C),
00-290078,Hennepin,Minneapolis,44th St W,Washburn Av S,2000/09/17,1705,Bicycle,Possible Injury (C),
00-290767,Hennepin,Minneapolis,9th St S,25th Av S,2000/09/18,950,Bicycle,Possible Injury (C),
00-291290,Hennepin,Minneapolis,38th St E,Dight Av S,2000/09/18,1840,Bicycle,Possible Injury (C),
00-291953,Hennepin,Minneapolis,7th St S,22nd Av S,2000/09/19,835,Bicycle,Possible Injury (C),
00-293164,Hennepin,Minneapolis,Girard Av N,Lowry Av N,2000/09/20,0,Bicycle,Possible Injury (C),
00-294543,Hennepin,Minneapolis,5th Av S,Franklin Av E,2000/09/21,1315,Bicycle,Possible Injury (C),
